City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
10,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Atuona,PF,78.89,few clouds,-9.8,-139.0333,Villa Enata
22,Saint-Philippe,RE,75.11,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Port Moresby,PG,83.62,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
29,Rikitea,PF,77.2,clear sky,-23.1203,-134.9692,People ThankYou
30,Nieuw Amsterdam,SR,79.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
35,Ixtapa,MX,80.22,scattered clouds,20.7,-105.2,hotel la terminal
50,Manaus,BR,81.09,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
63,Bambous Virieux,MU,77.22,few clouds,-20.3428,57.7575,Casa Tia Villa
65,Mogadishu,SO,82.27,broken clouds,2.0371,45.3438,Hotel Juba
74,Butaritari,KI,81.25,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
84,Waingapu,ID,83.71,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
93,Balikpapan,ID,79.79,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
111,Kirakira,SB,83.32,scattered clouds,-10.4544,161.9205,SanBiz Lodge
112,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
117,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
120,Mahebourg,MU,77.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
133,Xixiang,CN,76.68,few clouds,35.1628,112.865,Hongchang Rest House
137,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
143,Faanui,PF,81.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Le Port,RE,77.25,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
155,Tres Picos,MX,80.89,broken clouds,15.8667,-93.5333,Tres picos Chiapas
156,Punta Cardon,VE,79.7,overcast clouds,11.6581,-70.215,Bambuda hotel
158,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
163,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
164,Kavieng,PG,84.51,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
174,Simao,CN,78.58,overcast clouds,22.7886,100.9748,Changyu Hotel
187,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
